number_people,day_of_week,is_weekend,is_holiday,temperature,is_start_of_semester,is_during_semester,month,hour,year,class_crowded_3
37,4,0,0,71.76,0,0,8,17,2015,above_mean
45,4,0,0,71.76,0,0,8,17,2015,above_mean
40,4,0,0,71.76,0,0,8,17,2015,above_mean
44,4,0,0,71.76,0,0,8,17,2015,above_mean
45,4,0,0,71.76,0,0,8,17,2015,above_mean
46,4,0,0,72.15,0,0,8,18,2015,above_mean
43,4,0,0,72.15,0,0,8,18,2015,above_mean
53,4,0,0,72.15,0,0,8,18,2015,crowded
54,4,0,0,72.15,0,0,8,18,2015,crowded
43,4,0,0,72.15,0,0,8,18,2015,above_mean
39,4,0,0,69.97,0,0,8,19,2015,above_mean
38,4,0,0,69.97,0,0,8,19,2015,above_mean
45,4,0,0,69.97,0,0,8,19,2015,above_mean
41,4,0,0,69.97,0,0,8,19,2015,above_mean
36,4,0,0,69.97,0,0,8,19,2015,above_mean
42,4,0,0,68.8,0,0,8,20,2015,above_mean
35,4,0,0,68.8,0,0,8,20,2015,above_mean
36,4,0,0,68.8,0,0,8,20,2015,above_mean
48,4,0,0,68.8,0,0,8,20,2015,above_mean
40,4,0,0,68.8,0,0,8,20,2015,above_mean
49,4,0,0,68.04,0,0,8,21,2015,above_mean
37,4,0,0,68.04,0,0,8,21,2015,above_mean
48,4,0,0,68.04,0,0,8,21,2015,above_mean
45,4,0,0,68.04,0,0,8,21,2015,above_mean
45,4,0,0,68.04,0,0,8,21,2015,above_mean
38,4,0,0,67.55,0,0,8,22,2015,above_mean
41,4,0,0,67.55,0,0,8,22,2015,above_mean
41,4,0,0,67.55,0,0,8,22,2015,above_mean
37,4,0,0,67.55,0,0,8,22,2015,above_mean
33,4,0,0,67.55,0,0,8,22,2015,above_mean
22,4,0,0,67.0,0,0,8,23,2015,bellow_mean
2,4,0,0,67.0,0,0,8,23,2015,empty
1,4,0,0,67.0,0,0,8,23,2015,empty
0,4,0,0,67.0,0,0,8,23,2015,empty
0,4,0,0,67.0,0,0,8,23,2015,empty
0,5,1,0,66.76,0,0,8,0,2015,empty
1,5,1,0,66.76,0,0,8,0,2015,empty
0,5,1,0,66.76,0,0,8,0,2015,empty
0,5,1,0,66.76,0,0,8,0,2015,empty
0,5,1,0,66.76,0,0,8,0,2015,empty
0,5,1,0,66.32,0,0,8,1,2015,empty
0,5,1,0,65.07,0,0,8,5,2015,empty
1,5,1,0,65.07,0,0,8,5,2015,empty
0,5,1,0,65.07,0,0,8,5,2015,empty
1,5,1,0,65.07,0,0,8,5,2015,empty
1,5,1,0,65.32,0,0,8,6,2015,empty
0,5,1,0,65.32,0,0,8,6,2015,empty
0,5,1,0,65.32,0,0,8,6,2015,empty
0,5,1,0,65.32,0,0,8,6,2015,empty
0,5,1,0,65.32,0,0,8,6,2015,empty
0,5,1,0,66.8,0,0,8,7,2015,empty
0,5,1,0,66.8,0,0,8,7,2015,empty
0,5,1,0,66.8,0,0,8,7,2015,empty
3,5,1,0,66.8,0,0,8,7,2015,empty
2,5,1,0,66.8,0,0,8,7,2015,empty
6,5,1,0,67.8,0,0,8,8,2015,empty
15,5,1,0,67.8,0,0,8,8,2015,bellow_mean
22,5,1,0,67.8,0,0,8,8,2015,bellow_mean
18,5,1,0,67.8,0,0,8,8,2015,bellow_mean
21,5,1,0,67.8,0,0,8,8,2015,bellow_mean
26,5,1,0,69.55,0,0,8,9,2015,bellow_mean
23,5,1,0,69.55,0,0,8,9,2015,bellow_mean
23,5,1,0,69.55,0,0,8,9,2015,bellow_mean
28,5,1,0,69.55,0,0,8,9,2015,bellow_mean
23,5,1,0,69.55,0,0,8,9,2015,bellow_mean
22,5,1,0,70.36,0,0,8,10,2015,bellow_mean
30,5,1,0,70.36,0,0,8,10,2015,above_mean
32,5,1,0,70.36,0,0,8,10,2015,above_mean
36,5,1,0,70.36,0,0,8,10,2015,above_mean
29,5,1,0,70.36,0,0,8,10,2015,bellow_mean
34,5,1,0,72.84,0,0,8,11,2015,above_mean
36,5,1,0,72.84,0,0,8,11,2015,above_mean
32,5,1,0,72.84,0,0,8,11,2015,above_mean
27,5,1,0,72.84,0,0,8,11,2015,bellow_mean
26,5,1,0,72.84,0,0,8,11,2015,bellow_mean
36,5,1,0,76.95,0,0,8,12,2015,above_mean
37,5,1,0,76.95,0,0,8,12,2015,above_mean
38,5,1,0,76.95,0,0,8,12,2015,above_mean
30,5,1,0,76.95,0,0,8,12,2015,above_mean
34,5,1,0,76.95,0,0,8,12,2015,above_mean
26,5,1,0,80.16,0,0,8,13,2015,bellow_mean
33,5,1,0,80.16,0,0,8,13,2015,above_mean
31,5,1,0,80.16,0,0,8,13,2015,above_mean
26,5,1,0,80.16,0,0,8,13,2015,bellow_mean
26,5,1,0,80.16,0,0,8,13,2015,bellow_mean
26,5,1,0,79.98,0,0,8,14,2015,bellow_mean
23,5,1,0,79.98,0,0,8,14,2015,bellow_mean
29,5,1,0,79.98,0,0,8,14,2015,bellow_mean
27,5,1,0,79.98,0,0,8,14,2015,bellow_mean
29,5,1,0,79.98,0,0,8,14,2015,bellow_mean
25,5,1,0,78.79,0,0,8,15,2015,bellow_mean
29,5,1,0,78.79,0,0,8,15,2015,bellow_mean
35,5,1,0,78.79,0,0,8,15,2015,above_mean
32,5,1,0,78.79,0,0,8,15,2015,above_mean
36,5,1,0,78.79,0,0,8,15,2015,above_mean
31,5,1,0,78.51,0,0,8,16,2015,above_mean
24,5,1,0,78.51,0,0,8,16,2015,bellow_mean
26,5,1,0,78.51,0,0,8,16,2015,bellow_mean
28,5,1,0,78.51,0,0,8,16,2015,bellow_mean
33,5,1,0,78.51,0,0,8,16,2015,above_mean
26,5,1,0,77.32,0,0,8,17,2015,bellow_mean
31,5,1,0,77.32,0,0,8,17,2015,above_mean
39,5,1,0,77.32,0,0,8,17,2015,above_mean
43,5,1,0,77.32,0,0,8,17,2015,above_mean
40,5,1,0,77.32,0,0,8,17,2015,above_mean
36,5,1,0,75.62,0,0,8,18,2015,above_mean
43,5,1,0,75.62,0,0,8,18,2015,above_mean
38,5,1,0,75.62,0,0,8,18,2015,above_mean
32,5,1,0,75.62,0,0,8,18,2015,above_mean
29,5,1,0,75.62,0,0,8,18,2015,bellow_mean
31,5,1,0,73.61,0,0,8,19,2015,above_mean
27,5,1,0,73.61,0,0,8,19,2015,bellow_mean
23,5,1,0,73.61,0,0,8,19,2015,bellow_mean
29,5,1,0,73.61,0,0,8,19,2015,bellow_mean
28,5,1,0,73.61,0,0,8,19,2015,bellow_mean
29,5,1,0,71.49,0,0,8,20,2015,bellow_mean
29,5,1,0,71.49,0,0,8,20,2015,bellow_mean
31,5,1,0,71.49,0,0,8,20,2015,above_mean
28,5,1,0,71.49,0,0,8,20,2015,bellow_mean
33,5,1,0,71.49,0,0,8,20,2015,above_mean
26,5,1,0,69.48,0,0,8,21,2015,bellow_mean
25,5,1,0,69.48,0,0,8,21,2015,bellow_mean
29,5,1,0,69.48,0,0,8,21,2015,bellow_mean
22,5,1,0,69.48,0,0,8,21,2015,bellow_mean
24,5,1,0,69.48,0,0,8,21,2015,bellow_mean
26,5,1,0,67.75,0,0,8,22,2015,bellow_mean
22,5,1,0,67.75,0,0,8,22,2015,bellow_mean
25,5,1,0,67.75,0,0,8,22,2015,bellow_mean
26,5,1,0,67.75,0,0,8,22,2015,bellow_mean
12,5,1,0,67.75,0,0,8,22,2015,bellow_mean
17,5,1,0,66.53,0,0,8,23,2015,bellow_mean
4,5,1,0,66.53,0,0,8,23,2015,empty
2,5,1,0,66.53,0,0,8,23,2015,empty
0,5,1,0,66.53,0,0,8,23,2015,empty
0,5,1,0,66.53,0,0,8,23,2015,empty
0,6,1,0,65.77,0,0,8,0,2015,empty
0,6,1,0,65.77,0,0,8,0,2015,empty
0,6,1,0,65.77,0,0,8,0,2015,empty
0,6,1,0,65.77,0,0,8,0,2015,empty
0,6,1,0,65.77,0,0,8,0,2015,empty
0,6,1,0,65.69,0,0,8,1,2015,empty
0,6,1,0,64.72,0,0,8,5,2015,empty
0,6,1,0,64.72,0,0,8,5,2015,empty
0,6,1,0,64.72,0,0,8,5,2015,empty
0,6,1,0,64.72,0,0,8,5,2015,empty
0,6,1,0,65.2,0,0,8,6,2015,empty
0,6,1,0,65.2,0,0,8,6,2015,empty
0,6,1,0,65.2,0,0,8,6,2015,empty
0,6,1,0,65.2,0,0,8,6,2015,empty
0,6,1,0,65.2,0,0,8,6,2015,empty
1,6,1,0,66.91,0,0,8,7,2015,empty
0,6,1,0,66.91,0,0,8,7,2015,empty
0,6,1,0,66.91,0,0,8,7,2015,empty
2,6,1,0,66.91,0,0,8,7,2015,empty
2,6,1,0,66.91,0,0,8,7,2015,empty
3,6,1,0,69.39,0,0,8,8,2015,empty
12,6,1,0,69.39,0,0,8,8,2015,bellow_mean
18,6,1,0,69.39,0,0,8,8,2015,bellow_mean
11,6,1,0,69.39,0,0,8,8,2015,bellow_mean
16,6,1,0,69.39,0,0,8,8,2015,bellow_mean
15,6,1,0,72.14,0,0,8,9,2015,bellow_mean
18,6,1,0,72.14,0,0,8,9,2015,bellow_mean
17,6,1,0,72.14,0,0,8,9,2015,bellow_mean
12,6,1,0,72.14,0,0,8,9,2015,bellow_mean
22,6,1,0,72.14,0,0,8,9,2015,bellow_mean
23,6,1,0,74.51,0,0,8,10,2015,bellow_mean
27,6,1,0,74.51,0,0,8,10,2015,bellow_mean
25,6,1,0,74.51,0,0,8,10,2015,bellow_mean
20,6,1,0,74.51,0,0,8,10,2015,bellow_mean
25,6,1,0,74.51,0,0,8,10,2015,bellow_mean
19,6,1,0,77.42,0,0,8,11,2015,bellow_mean
18,6,1,0,77.42,0,0,8,11,2015,bellow_mean
25,6,1,0,77.42,0,0,8,11,2015,bellow_mean
29,6,1,0,77.42,0,0,8,11,2015,bellow_mean
24,6,1,0,77.42,0,0,8,11,2015,bellow_mean
29,6,1,0,78.94,0,0,8,12,2015,bellow_mean
22,6,1,0,78.94,0,0,8,12,2015,bellow_mean
20,6,1,0,78.94,0,0,8,12,2015,bellow_mean
34,6,1,0,78.94,0,0,8,12,2015,above_mean
19,6,1,0,78.94,0,0,8,12,2015,bellow_mean
16,6,1,0,79.2,0,0,8,13,2015,bellow_mean
27,6,1,0,79.2,0,0,8,13,2015,bellow_mean
28,6,1,0,79.2,0,0,8,13,2015,bellow_mean
24,6,1,0,79.2,0,0,8,13,2015,bellow_mean
